School,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
CA School 88,Twin Hills Union Elementary,Sebastopol,95472,Sonoma County,No,Yes,No,Yes,234,12.2,19.1,0.21,0.01,0.01,0.03,0.16,0.01,0.05,0.74
CA School 89,Rise Kohyang High District,Los Angeles,90057,Los Angeles County,Yes,Yes,No,No,288,17.1,16.7,0.89,0.04,0,0.39,0.56,0,0.01,0
CA School 90,Sonora Union High,Sonora,95370,Tuolumne County,Yes,No,No,No,957,37.3,25.5,0.4,0.01,0.01,0.03,0.19,0,0.05,0.71
CA School 91,Nevada County Office of Education,Nevada City,95959,Nevada County,No,Yes,No,No,706,36.2,19.4,0.43,0.01,0.02,0.02,0.12,0.01,0.02,0.81
CA School 92,Center Joint Unified,Antelope,95843,Sacramento County,No,No,No,No,1292,62.5,20.6,0.59,0.14,0.01,0.12,0.26,0.01,0.04,0.43
CA School 93,MIT Academy District,Vallejo,94589,Solano County,Yes,Yes,No,No,525,21,24.9,0.56,0.15,0,0.26,0.45,0.01,0.02,0.11
CA School 94,Torrance Unified,Torrance,90504,Los Angeles County,No,No,No,No,1813,75.4,24,0.44,0.07,0,0.3,0.44,0.01,0.07,0.12
CA School 95,Anaheim Union High,Cypress,90630,Orange County,No,No,No,No,2903,102,28.4,0.37,0.03,0,0.36,0.31,0,0.05,0.24
CA School 96,San Francisco Unified,San Francisco,94121,San Francisco County,No,No,No,No,1995,85.9,23.2,0.49,0.05,0,0.61,0.18,0,0.07,0.1
CA School 97,Fremont Unified,Fremont,94538,Alameda County,Yes,No,No,No,1292,63.6,20.3,0.43,0.05,0,0.38,0.34,0.01,0.03,0.19
CA School 98,Alpha Cindy Avitia High District,San Jose,95122,Santa Clara County,Yes,Yes,No,No,438,26.3,16.6,0.88,0.01,0,0.08,0.82,0,0.01,0.08
CA School 99,Classical Academy High District,Escondido,92025,San Diego County,(n/a),Yes,No,No,1205,49.5,24.3,0.12,0.01,0,0.04,0.19,0,0.11,0.66
CA School 100,Grossmont Union High,Santee,92071,San Diego County,Yes,No,No,No,1730,63.5,27.2,0.4,0.02,0.01,0.04,0.28,0,0.08,0.58
CA School 101,Yosemite Unified,Oakhurst,93644,Madera County,Yes,No,No,No,638,26.4,24.1,0.43,0,0.04,0.03,0.16,0,0.05,0.72
CA School 102,Stockton Unified,Stockton,95207,San Joaquin County,Yes,Yes,No,No,216,7,30.8,0.55,0.1,0.02,0.13,0.65,0.01,0.01,0.09
CA School 103,Oakland School for the Arts District,Oakland,94612,Alameda County,Yes,Yes,No,No,749,39.9,18.7,0.14,0.19,0.01,0.07,0.16,0,0.15,0.42
CA School 104,Corona-Norco Unified,Corona,92880,Riverside County,No,No,No,No,4532,176.3,25.6,0.37,0.11,0,0.22,0.46,0,0.02,0.18
CA School 105,Liberty Union High,Brentwood,94513,Contra Costa County,Yes,No,No,No,2708,119.4,22.6,0.27,0.06,0.01,0.06,0.35,0.01,0.06,0.46
CA School 106,Clovis Unified,Fresno,93720,Fresno County,No,No,No,No,2018,91.2,22.1,0.4,0.05,0.01,0.11,0.43,0,0.03,0.38
CA School 107,Carpinteria Unified,Carpinteria,93013,Santa Barbara County,No,No,No,No,610,33.6,18.1,0.55,0,0,0.02,0.74,0,0.02,0.22
CA School 108,Audeo Charter II District,Oceanside,92056,San Diego County,Yes,Yes,No,No,228,5.9,38,0.55,0.04,0,0.04,0.48,0,0.08,0.36
